Faction,Name,Flavor,Item Description,Rarity,Type,Unlocked at level,Health,DPS,Speed,Building,Cost,Strong vs,Targets
GDI,A.P.C.,"The humble GDI A.P.C. Mk III is not the most flashy unit in the GDI arsenal, but its advanced crew safety systems make it a favorite of GDI infantry units across the globe. GDI Missile Squads transported by the A.P.C. routinely survive the destruction of the vehicle and continue fighting in its place.",Leaves behind a Missile Squad upon death.,epic,vehicles,34,3500,88.9,slow,war factory,80,"infantry,aircraft","ground,air"
GDI,Drone Swarm,GDI's Drone Swarm is an outgrowth of Dr. Liang's research into pilotless aircraft. The Drone Swarm is armed with a light machine gun for front line combat duty. Dr. Liang objected to weaponizing his dron technology but was ultimately countermanded by General Solomon.,Flying. (Can move over terrain and enemy units.),common,aircraft,7,,,fast,helipad,10,infantry,ground
GDI,Talon,"A multi-role attack helicopter, the GDI Talon is the last pre-Orca aircraft left in GDI's arsenal. Despite its older design, the Talon is still a capable weapons platform useful for a variety of roles, including infantry suppression and light anti-aircraft duty.",Flying. (Can move over terrain and enemy units.),common,aircraft,6,,,fastest,helipad,30,"infantry,aircraft","ground,air"
GDI,Orca,"The Orca assault craft, with its distinctive dual ducted-jet propulsion systems, is GDI's primary close-air support gunship. Specialized for anti-vehicle operations, the Orca is equipped with dual Dragon TOW Rockets that can mete out heavy damage to Nod ground forces.","Rapidly fires 2 rockets, then must reload. Flying.",epic,aircraft,2,,,fast,helipad,70,vehicles,ground
GDI,Hammerhead,"The AH-68 Hammerhead is a dedicated air superiority fighter. Designed to clear the sky of enemy aircraft, the Hammerhead has powerful air-to-air missile systems and heavy composite armors that allow it to take on even the most dangerous airborne threats.",Can also attack the enemy base. Flying.,common,aircraft,38,1950,350,fastest,helipad,100,aircraft,air
GDI,Wolverine,The Wolverine Assault Mech is a light battle walker equipped with dual M99 SuperVulcan Gatling machine guns. The Wolverine excels at destroying both infantry formations and enemy aircraft.,Has an extremely high Attack Speed.,common,vehicles,1,,,average,tech lab,80,"infantry,aircraft","ground,air"
GDI,Zone Trooper,Zone Troopers are elite GDI infantry clad in XO-95 power armor. This armor enables Zone Troopers to accurately wield heavy rail guns and will automatically deliver first aid to them over time.,Restores health every second after being out of combat.,epic,infantry,1,,,average,tech lab,120,"vehicles,aircraft","ground,air"
GDI,Sandstorm,The AHV-8 Sandstorm is a GDI hover vehicle first fielded after the 3rd Tiberium War. The Sandstorm is noteable for its ability to fire a seemingly endless volley of guides missiles at multiple enemy air and ground forces simultaneously.,Deals damage to up to 3 enemines in an arc.,epic,vehicles,2,,,average,tech lab,130,"vehicles,aircraft","ground,air"
GDI,Titan,"The TItam MK. II-P is a main battle walker equipped with an experimental particle beam cannon. First fielded during the Second Tiberium War, the Tital family of assault mechs have been a mainstay of GDI armies for decades.","Fires through its target, also damaging any enemy in the tile behind its target.",epic,vehicles,2,,,average,tech lab,150,vehicles,ground
GDI,Disruptor,"The GDI Disruptor is an experimental siege weapon which uses sonic energy to batter down enemy structures and devastate enemy infantry. Although largely phased out by the Third Tiberium War, the Disruptor remains a potent anti-structure unit.",Can attack up to 2 tiles away. Damages any enemy in the beam.,rare,vehicles,30,3300,500,,tech lab,120,"infantry,buildings",ground
GDI,Kodiak,"The Kodiak class command ships, made famous by Cmd. Michael McNeil during the second TIberium War, are heavy gunships capable of selling multiple ground targets simultaneously. Slow but heavily armored, Kodiaks are valued for their ability to quickly destroy large formations of enemy ground units.",Can simultaenously attack up to 3 enemies in an arc. Flying.,rare,aircraft,50,4000,500,,tech lab,130,vehicles,ground
GDI,Juggernaut,GDI's fearsome Juggernaut is a heavy artillery walker sporting naval artillery and a modified Titan chassis. The Juggernaut's triple cannons allow it to blanket a large area with artillery fire from far behind the front lines. This awesome firepower is somewhat offset by the Juggernaut's relatively light armor and long pre-fire setup time.,Can attack up to 3 tiles away. Hits multiple tiles with each volley.,epic,vehicles,57,2400,480,,tech lab,120,"vehicles,infantry,buildings",ground
GDI,Mammoth Tank,"The Mammoth Mk. III is the third generation of the GDI's imposing Mammoth Tank line. The heaviest of GDI's tanks, the Mammoth is equipped with dual 150mm smooth-bore cannons as well as dual anti-aircraft rocket pods.","Can attack while moving. Crushes infantry, killing them by moving over them.",epic,vehicles,59,7500,2000,slowest,tech lab,250,"vehicles,infantry","ground,air"
Nod,Militant,Nod Militants are the Brotherhood's primary light infantry force. Militants are poorly trained and equipped but fight with fanatical zeal.,Provides vision up to 3 tiles away and reveals adjacent stealthed units.,common,infantry,9,,,fast,hand of nod,10,infantry,ground
Nod,Laser Squad,Laser Squads are equipped with anti-air/anti-vehicle laser weaponry derived from Nod's fearsome Obelisk of Light technology.,,rare,infantry,,,,average,hand of nod,20,"vehicles,aircraft","ground,air"
